time,car,lap,x,y,heading,speed,throttle,brake,steering,lap_distance,collision
0.016666666666666666,Blue,0,1059.9978010601608,326.0687148249185,181.83289401681117,4.125,1.0,0.0,1.0,2143.976026608392,False
0.016666666666666666,Gold,0,1099.9978010601608,326.0687148249185,181.83289401681117,4.125,1.0,0.0,1.0,2153.683655720491,False
0.03333333333333333,Blue,0,1059.9932930366997,326.2054529715307,181.93556324114152,8.208746241178664,1.0,0.0,1.0,2144.1060837742116,False
0.03333333333333333,Gold,0,1099.9932930366997,326.2054529715307,181.93556324114152,8.208746241178664,1.0,0.0,1.0,2153.81606578339,False
0.05,Blue,0,1059.9862203440448,326.40952419974144,182.1389769815946,12.25162523885853,1.0,0.0,1.0,2144.300087997319,False
0.05,Gold,0,1099.9862203440448,326.40952419974144,182.1389769815946,12.25162523885853,1.0,0.0,1.0,2154.013601953461,False
0.06666666666666667,Blue,0,1059.9761711478461,326.680237253719,182.44124701468232,16.25397053575125,1.0,0.0,1.0,2144.5572606000264,False
0.06666666666666667,Gold,0,1099.9761711478461,326.680237253719,182.44124701468232,16.25397053575125,1.0,0.0,1.0,2154.275499407116,False
0.08333333333333333,Blue,0,1059.962568642371,327.0168964604413,182.84051971848208,20.21603370233426,1.0,0.0,1.0,2144.8767726598226,False
0.08333333333333333,Gold,0,1099.962568642371,327.0168964604413,182.84051971848208,20.21603370233426,1.0,0.0,1.0,2154.60095278209,False
0.09999999999999999,Blue,0,1059.9446642530195,327.4187970949495,183.3349735605408,24.13795504665466,1.0,0.0,1.0,2145.257738662966,False
0.09999999999999999,Gold,0,1099.9446642530195,327.4187970949495,183.3349735605408,24.13795504665466,1.0,0.0,1.0,2154.989110163047,False
0.11666666666666665,Blue,0,1059.921532640292,327.8852194494696,183.92281598472945,28.019735607109936,1.0,0.0,1.0,2145.6992094157044,False
0.11666666666666665,Gold,0,1099.921532640292,327.8852194494696,183.92281598472945,28.019735607109936,1.0,0.0,1.0,2155.4390661983075,False
0.13333333333333333,Blue,0,1059.8920684155826,328.415421585059,184.60227976106367,31.86121156573459,1.0,0.0,1.0,2146.200164167622,False
0.13333333333333333,Gold,0,1099.8920684155826,328.415421585059,184.60227976106367,31.86121156573459,1.0,0.0,1.0,2155.9498543072023,False
0.15,Blue,0,1059.8549845106709,329.00863078093056,185.37161888585607,35.662031880592366,1.0,0.0,1.0,2146.759501945466,False
0.15,Gold,0,1099.8549845106709,329.00863078093056,185.37161888585607,35.662031880592366,1.0,0.0,1.0,2156.5204379800593,False
0.16666666666666666,Blue,0,1059.8088121709652,329.66403372925606,186.22910413328555,39.42163967492369,1.0,0.0,1.0,2147.3760321350023,False
0.16666666666666666,Gold,0,1099.8088121709652,329.66403372925606,186.22910413328555,39.42163967492369,1.0,0.0,1.0,2157.149701210892,False
